Survey ID,Joker,Whiplash,Us,Once Upon a Time in Hollywood,The Rise of Skywalker
0,5.0,4.0,2.0,1.0,3.0
1,,4.0,,3.0,3.0
2,5.0,1.0,,1.0,1.0
3,1.0,5.0,,2.0,5.0
4,4.0,4.0,5.0,1.0,3.0
5,1.0,,5.0,1.0,1.0
6,3.0,2.0,2.0,,5.0
7,3.0,5.0,4.0,2.0,3.0
8,4.0,5.0,2.0,1.0,5.0
9,,,5.0,2.0,
10,5.0,4.0,1.0,3.0,1.0
11,1.0,,3.0,2.0,2.0
12,4.0,4.0,4.0,2.0,1.0
13,,4.0,5.0,4.0,1.0
14,1.0,4.0,,2.0,3.0
15,1.0,3.0,4.0,4.0,3.0
16,4.0,,1.0,3.0,4.0
17,5.0,1.0,5.0,5.0,2.0
18,,3.0,3.0,1.0,4.0
19,3.0,5.0,2.0,4.0,2.0
20,,,4.0,,
21,4.0,4.0,5.0,5.0,3.0
22,5.0,3.0,3.0,1.0,1.0
23,2.0,3.0,5.0,,3.0
24,,1.0,2.0,5.0,2.0
25,4.0,4.0,,5.0,5.0
26,4.0,,5.0,3.0,5.0
27,4.0,1.0,,5.0,3.0
28,2.0,2.0,2.0,2.0,4.0
29,,,1.0,,2.0
